timestamp,username,status,detail
2026-08-03T19:52:31,arain_zuhaib_197,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:33,arbab064,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:36,arbab__hussain,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:39,arbabdanish6__,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:41,arbishehehe,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:44,areeb_asad,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:47,areeba.__.asif,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:50,areeba_nadeem234,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:53,areebaamateenn,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:56,arehman_28,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:52:59,arfathforgsu,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:01,arhaan_star,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:04,arham_aly.07,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:06,arhamali1743,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:09,arhambajwaa,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:12,arhanali45727,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:15,arisha_fhm,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:22,arishalam,following_not_visible,Could not find a visible Following button.
2026-08-03T19:53:28,armadillo.8764115,not_found,Instagram reported that this profile is unavailable.
2026-08-03T19:53:31,arooba.atiff,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:34,aroojkhan.11,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:37,aroox97,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:40,aroushblog,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:43,arphotographs,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:45,arpi_blogss,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:48,arsalan.tanwari,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:51,arsalanrana_here,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:54,arshadahmad_17,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:56,arshiearchives,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:53:59,arslan_kh4n,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:02,arslankhalid007,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:05,arslankhanmukhtazai,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:08,art_blogs_,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:11,artbyhaseeb,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:18,artbysaadii,following_not_visible,Could not find a visible Following button.
2026-08-03T19:54:21,artistsmuse_,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:23,artjola_official_003,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:26,artsybymnq,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:28,arwattoo2,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:31,aryan__uddin,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:34,aryann__shinde,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:37,as__sameer93,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:40,asad_in_scotland,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:43,asad_rd_x,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:46,asad_ullah_209,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:49,asadbaloch3110,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:51,asaddmalik1,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:55,asadjohnn,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:54:58,asadullahxh,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:02,asaprafay,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:05,asar0030,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:08,asfan147,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:11,asfandkhan222,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:14,asghar_ali_512,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:17,ashar_.88,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:20,asherkhann__,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:23,ashiyaa_.6,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:25,ashnaestates,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:28,ashoo_ahsan,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:31,ashuh501,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:34,ashy_boy_ashy,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:55:36,asif_bhat_mma,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:00:39,asifahmad643,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:00:42,asifnawaz6903,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:00:45,asifur7273,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:00:47,asim__husain,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:00:50,asim__khan455,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:00:52,asimraja292,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:00:54,asmatmashwanii,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:00:57,aspakkhan___,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:00,asq_.08,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:03,asraa.rehman,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:10,assignment.wizard0,not_found,Instagram reported that this profile is unavailable.
2026-08-03T20:01:12,astrotea_love,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:15,at_aziztalha,unfollowed,Unfollow confirmation clicked.
